iter	Passed	Remaining
0	11	2093
1	21	1989
2	32	1959
3	42	1942
4	52	1907
5	64	1931
6	75	1923
7	87	1926
8	98	1920
9	109	1922
10	120	1908
11	131	1901
12	142	1888
13	153	1874
14	164	1861
15	176	1861
16	187	1851
17	198	1840
18	209	1831
19	219	1812
20	230	1799
21	240	1785
22	253	1786
23	265	1777
24	276	1766
25	287	1756
26	298	1748
27	310	1739
28	321	1727
29	332	1719
30	344	1712
31	356	1704
32	368	1695
33	379	1686
34	391	1675
35	402	1667
36	414	1656
37	425	1644
38	435	1631
39	446	1620
40	457	1607
41	470	1602
42	481	1589
43	492	1577
44	502	1563
45	513	1551
46	524	1540
47	535	1528
48	546	1517
49	557	1504
50	567	1491
51	578	1478
52	588	1466
53	599	1455
54	610	1443
55	621	1432
56	633	1421
57	643	1409
58	655	1399
59	666	1388
60	677	1376
61	688	1364
62	698	1353
63	709	1341
64	720	1330
65	731	1318
66	741	1305
67	751	1292
68	762	1281
69	773	1270
70	784	1259
71	796	1250
72	807	1239
73	819	1228
74	830	1218
75	842	1207
76	853	1196
77	864	1185
78	875	1175
79	887	1165
80	900	1156
81	912	1146
82	926	1137
83	938	1128
84	951	1119
85	963	1109
86	977	1100
87	989	1090
88	1002	1080
89	1013	1069
90	1025	1059
91	1037	1048
92	1049	1037
93	1060	1026
94	1073	1016
95	1085	1006
96	1097	995
97	1109	984
98	1121	973
99	1132	962
100	1144	951
101	1154	939
102	1166	928
103	1178	917
104	1192	908
105	1210	902
106	1226	893
107	1239	883
108	1252	873
109	1264	862
110	1277	851
111	1289	840
112	1302	830
113	1315	819
114	1328	808
115	1339	797
116	1351	785
117	1364	774
118	1376	763
119	1389	752
120	1402	741
121	1414	730
122	1426	719
123	1437	707
124	1449	695
125	1461	684
126	1473	672
127	1485	661
128	1497	650
129	1510	638
130	1522	627
131	1534	616
132	1546	604
133	1557	592
134	1571	582
135	1584	570
136	1596	559
137	1609	548
138	1621	536
139	1632	524
140	1644	513
141	1656	501
142	1667	489
143	1679	478
144	1692	466
145	1705	455
146	1718	444
147	1729	432
148	1741	420
149	1753	409
150	1764	397
151	1776	385
152	1787	373
153	1799	362
154	1810	350
155	1822	338
156	1833	327
157	1843	315
158	1855	303
159	1866	291
160	1878	280
161	1889	268
162	1899	256
163	1909	244
164	1919	232
165	1931	221
166	1942	209
167	1952	197
168	1962	185
169	1973	174
170	1984	162
171	1995	150
172	2006	139
173	2017	127
174	2028	115
175	2040	104
176	2052	92
177	2064	81
178	2075	69
179	2087	57
180	2098	46
181	2109	34
182	2121	23
183	2132	11
184	2144	0
